,,,,,,,,,,,,,,,,,,,,,,,,State,State - Abv,Eligible States,Not Eligible,Products,Price,Link,Allow States,BMI STATUS,STRIVE STATES,
,Max. weight (kg),72,,,,,,,,First payment:,,6/24/2025,,,,,,,,,,,,Hawaii,HI,yes,,Semaglutide 7mg + 2 Slim Boost + 3 Nutrition Consultation + 3 Lipo-Mino,"$2,405.01",https://buy.stripe.com/8x2dR89vFeZB1sN6pP0JN3Z,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Louisiana,LA
,Ideal weight (kg),63,,,,,,,,# of biweekly payments (4):,,4,,# of 6 mo. payments (1 up to 6):,6,,,,,,,,,Idaho,ID,no,,(6% Fee) Combo Tirzepatide 52mg + NAD,"$2,173.00",https://buy.stripe.com/14k6ps3aBh0n2oo0QO,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Maine,ME
,Min. weight (lb),118,,,,Feet,Inchs,CM,,,,,,,,,,,,,,,,Illinois,IL,yes,,Combo Tirzepatide 52mg + NAD,"$2,050.00",https://buy.stripe.com/eVa6ps7qReSf1kk7fb,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Maryland,MD
,Max. weight (lb),159,,,Foot to cm,5,3,160,,Biweekly plan (afterpay/klarna):,,,,6 month plan (affirm/care credit/afterpay/klarna):,,,,,,,,,,Indiana,IN,yes,,(6% Fee) Tirzepatide 52mg +  3 Months Nutritional + 2 Slim Boost,"$2,041.57",https://buy.stripe.com/aFa4gy8rB5p1b3ndSh0JI1u,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Massachusetts,MA
,Ideal weight (lb),138,,,,,,,,1st payment,Jun-24,$444,,1st payment,Jun-24,$296,,,,,,,,Iowa,IA,yes,,(6% Fee) Nutrition Consultation - 12 Months + 6 Slim Boost,"$2,027.95",https://buy.stripe.com/cNi00i0Z904H3AV6pP0JJ2h,ALL,ALL,Michigan,MI
,,,,,,CM,Feet,Inchs,,2nd payment,Jul-8,$444,,2nd payment,Jul-24,$296,,,,,,,,Kansas,KS,no,,Tirzepatide 52mg +  3 Months Nutritional + 2 Slim Boost,"$1,926.01",https://buy.stripe.com/4gMaEW7nx4kXgnHdSh0JI1t,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Missouri,MO
,Weight Loss Goal (kg):,-40,,,CM to foot,171,5,7,,3rd payment,Jul-22,$444,,3rd payment,Aug-23,$296,,,,,,,,Kentucky,KY,no,,Nutrition Consultation - 12 Months + 6 Slim Boost,"$1,913.16",https://buy.stripe.com/3cIfZgePZeZB5J3eWl0JJ2d,ALL,ALL,Montana,MT
,Weight Loss Goal (lb):,-88,,,,,,,,4th payment,Aug-5,$444,,4th payment,Sep-22,$296,,,,,,,,Louisiana,LA,yes,,(6% Fee) Combo Tirzepatide 52mg,"$1,776.56",https://buy.stripe.com/5kA8xAeTj5hF1kkfIk,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Nebraska,NE
,,,,,,,,,,,,,,5th payment,Oct-22,$296,,,,,,,,Maine,ME,yes,,(6% Fee) Combo Semaglutide 7mg + NAD,"$1,738.40",https://buy.stripe.com/14k7twdPf7pN7II570,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Nevada,NV
,,,,,,,,,,,,,,6th payment,Nov-21,$296,,,,,,,,Maryland,MD,yes,,Combo Tirzepatide 52mg,"$1,676.00",https://buy.stripe.com/28og027qR4dB2oocw6,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,New Hampshire,NH
,Medical Condition?,NO,,,,,,,,,,,,,,,,,,,,,,Massachusetts,MA,yes,,(6% Fee) Combo Tirzepatide 24mg + NAD,"$1,654.66",https://buy.stripe.com/7sI9BE26x39xe76exV,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,New Jersey,NJ
,,,,,,,,,,Sales Calculator,,,,COUPONS,,,,,,,,,,Michigan,MI,yes,,Combo Semaglutide 7mg + NAD,"$1,640.00",https://buy.stripe.com/6oEbJMdPfaBZ7II1UK,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,New Mexico,NM
,BMI 25 - 29.9 Medical Condition Required:,,,"* If the patient is already using a GLP-1 and provides a previous prescription along with the last dose and date, approval can be granted accordingly.",,,,,,Product,Amount ($),,,Referral 5%,5.00%,SLXJN7IG,,1 Arizona,1 Arizona,,,,,Minnesota,MN,yes,,(6% Fee) Semaglutide 7mg +  3 Months Nutritional + 2 Slim Boost,"$1,606.97",https://buy.stripe.com/bJeaEW7nx4kXfjDg0p0JI1x,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,New York,NY
,High blood pressure (hypertension),,,,,,,,,Tirzepatide 52mg,"$1,299.00",,,Repurchase 5%,5.00%,SLXJN7IG,,1 Arizona,1 Arizona,,,,,Mississippi,MS,no,,(6% Fee) Tirzepatide 52mg + Nutritional Consultation,"$1,587.88",https://buy.stripe.com/6oU3cu8rB18L4EZ8xX0JH29,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,North Dakota,ND
,Dyslipidemia or Hyperlipidemia (high cholesterol or abnormal lipid levels),,,,,,,,,,$0.00,,,Repurchase 5%,10.00%,IHV6DM5R,,1 Arizona,1 Arizona,,,,,Missouri,MO,yes,,Combo Tirzepatide 60mg,"$1,587.00",https://buy.stripe.com/28oaFI12taBZ7II3V5,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Ohio,OH
,Obstructive sleep apnea (OSA),,,,,,,,,,$0.00,,,,,,,1 Arizona,1 Arizona,,,,,Montana,MT,yes,,(6% Fee) Tirzepatide 52mg + 2 Slim Boost,"$1,565.62",https://buy.stripe.com/3cs4hk6mN25t3ss1Rt,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Non-alcoholic fatty liver disease (NAFLD),,,,,,,,,,$0.00,,,Partial Payment Coupons AFTERPAY,,,,1 Arizona,1 Arizona,,,,,Nebraska,NE,yes,,Combo Tirzepatide 24mg + NAD,"$1,561.00",https://buy.stripe.com/eVadRU3aB9xVaUU61o,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Oklahoma,OK
,Osteoarthritis,,,,,,,,,,$0.00,,,PARTIAL PAYMENT DISCOUNT,10.00%,J9TKDLDJ,,1 Arizona,1 Arizona,,,,,Nevada,NV,yes,,(6% Fee) Combo Semaglutide 3mg + NAD,"$1,538.06",https://buy.stripe.com/fZeeVYaD35hF4ww2P7,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Oregon,OR
,Gastroesophageal reflux disease (GERD),,,,,,,,,,$0.00,,,PARTIAL PAYMENT DISCOUNT,20.00%,SNDN34CX,,1 Arizona,1 Arizona,,,,,New Hampshire,NH,yes,,Semaglutide 7mg +  3 Months Nutritional + 2 Slim Boost,"$1,516.01",https://buy.stripe.com/00wcN46jt4kX5J33dD0JI1v,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Pennsylvania,PA
,Polycystic ovarian syndrome (PCOS),,,,,,,,,Sales Total,"$1,299.00",,,PARTIAL PAYMENT DISCOUNT,30.00%,GVK44L33,,1 Arizona,1 Arizona,,,,,New Jersey,NJ,yes,,Tirzepatide 52mg + Nutritional Consultation,"$1,498.00",https://buy.stripe.com/5kQ00idLV8Bd1sN15v0JH28,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Rhode Island,RI
